5.596390758904462564e+04,1.629483839286482544e+05,6.566453741026696207e+02
5.596141277104774053e+04,1.629482915279816953e+05,6.575257744110410840e+02
5.598042494123900542e+04,1.630045458856238110e+05,6.545140884757969388e+02
5.587768937096264563e+04,1.630049498062370403e+05,6.545140884758045559e+02
5.587997807543591625e+04,1.629984309195293172e+05,6.533640544841509836e+02
5.587596326548352226e+04,1.629987932743923739e+05,6.535719613210345642e+02
5.587367456101025891e+04,1.629955127512886538e+05,6.543291712278747809e+02
5.587138585653698829e+04,1.629922322281849338e+05,6.549936365079124698e+02
5.586909715206371766e+04,1.629889517050812137e+05,6.555561310623872942e+02
5.586680844759045431e+04,1.629856711819774937e+05,6.559737063983548069e+02
5.586451974311718368e+04,1.629823906588737736e+05,6.563964310277086724e+02
5.586223103864391305e+04,1.629791101357700536e+05,6.568665230048594594e+02
5.585994233417064970e+04,1.630398296126663336e+05,6.573060758061519664e+02
5.584287661203109747e+04,1.621159328051447519e+05,6.551145686298121973e+02
5.584165362969737907e+04,1.621405490895626135e+05,6.577867348520371706e+02
5.585536492522410845e+04,1.621372685664588935e+05,6.582643330638962880e+02
5.585307622075084510e+04,1.621339880433551734e+05,6.586196942950673474e+02
5.585078751627757447e+04,1.621307075202514534e+05,6.589094536619259088e+02
5.584849881180431112e+04,1.621274269971477333e+05,6.591519120525207427e+02
5.584621010733104049e+04,1.621241464740439842e+05,6.593472574559710893e+02
5.584392140285776986e+04,1.621208659509402642e+05,6.594543945193329364e+02
5.584163269838450651e+04,1.621175854278365441e+05,6.594987310822218660e+02
5.583934399390989711e+04,1.630103049047328241e+05,6.594571680238811950e+02
5.583705528943796526e+04,1.635902416970543272e+05,6.594199907226291089e+02
5.597584753229247144e+04,1.636059848394163710e+05,6.556467429245271887e+02
5.597076658496470191e+04,1.636117438585253840e+05,6.493159084230751432e+02
5.596847788049143128e+04,1.636084633354216639e+05,6.492562303800440304e+02
5.583018917601816065e+04,1.636051828123179439e+05,6.492556228371777252e+02
5.582790047154489730e+04,1.636019022892142239e+05,6.595472057133042654e+02
5.582561176707162667e+04,1.635986217661105038e+05,6.599437921684462935e+02
5.582332306259835605e+04,1.635953412430067838e+05,6.604101475062756208e+02
5.582103435812509269e+04,1.635920607199030637e+05,6.609117379328301922e+02
5.581874565365182207e+04,1.635887801967993437e+05,6.615023284291767141e+02
5.581645694917855144e+04,1.635854996736956236e+05,6.621247695718410569e+02
5.581416824470528809e+04,1.633841025515285728e+05,6.628096516582754703e+02
5.671905992171609250e+04,1.633787043163118360e+05,6.562192303714438140e+02
5.581187954023201746e+04,1.633869386274881836e+05,6.634597592703106557e+02
5.580959083575874683e+04,1.633836581043844635e+05,6.639845892158080005e+02
5.580730213128548348e+04,1.633803775812807435e+05,6.643460009733904599e+02
5.580328732133308949e+04,1.633807399361404532e+05,6.644304935522122832e+02
5.580557602580636012e+04,1.633840204592467053e+05,6.640649883982993060e+02
5.580786473027963075e+04,1.633873009823504253e+05,6.635880740859927300e+02
5.584727929674249026e+04,1.633905815054541454e+05,6.629707917287704504e+02
5.584444213922616473e+04,1.643166793108200654e+05,6.622538252882169445e+02
5.584673084369943535e+04,1.642931425516615855e+05,6.718595792678626140e+02
5.555700433221169806e+04,1.642964230747605907e+05,6.610161022747089419e+02
5.597127012334593746e+04,1.643034237932089309e+05,6.694527995342542681e+02
5.597130825264596933e+04,1.642997035978690255e+05,6.710656168589522395e+02
5.582159695711923996e+04,1.643029841209727456e+05,6.600419690904856225e+02
5.582388566159250331e+04,1.643062646440764656e+05,6.653425025338257228e+02
5.585263771283978713e+04,1.643095451671801857e+05,6.705492900436985337e+02
5.585246307053904457e+04,1.643128256902839057e+05,6.590549311393380094e+02
5.585475177501230792e+04,1.643161062133876258e+05,6.621373679299114201e+02
5.556236274830899492e+04,1.643193867364913458e+05,6.621449385194256365e+02
5.583532918395884917e+04,1.645228184563383693e+05,6.621884597266526953e+02
5.583761788843211252e+04,1.645179477826987859e+05,6.467143744714177274e+02
5.583990659290538315e+04,1.645212283058025059e+05,6.466484268737051480e+02
5.554724323140443448e+04,1.645241432701052108e+05,6.572484137683713925e+02
5.585799612893709127e+04,1.645245088289062260e+05,6.572340972387819420e+02
5.586048400185191713e+04,1.645277893520099751e+05,6.438348771101218517e+02
5.586277270632518776e+04,1.645310698751136952e+05,6.587885762334491346e+02
5.556772116440629907e+04,1.645343503982127004e+05,6.585361204037773177e+02
5.585135011527172173e+04,1.645376309213191562e+05,6.581190977085944951e+02
5.585363881974499236e+04,1.645409114444181614e+05,6.577708074165183234e+02
5.585592752421825571e+04,1.638891436870023899e+05,6.572676460047513274e+02
5.586335454503252549e+04,1.638754724906310730e+05,6.568350683831273500e+02
5.586050493316479697e+04,1.638787530137300782e+05,6.564178870279471312e+02
5.586279363763806032e+04,1.638820335368365340e+05,6.559743065921253447e+02
5.596669271439939621e+04,1.638820346201054635e+05,6.577134071500081518e+02
5.586508234211133095e+04,1.638853140599496546e+05,6.555736959687533272e+02
5.586737104658460157e+04,1.638885945830486598e+05,6.550500744461741078e+02
5.586965975105786492e+04,1.638918751061551156e+05,6.544209708646257013e+02
5.587194845553113555e+04,1.638951556292541209e+05,6.536962959378751066e+02
5.586793364557874884e+04,1.638955179841212812e+05,6.537084777551631305e+02
5.586564494110547821e+04,1.638922374610148254e+05,6.544092595151404339e+02
5.717919657784604351e+04,1.638889569379158202e+05,6.550444569500348280e+02
5.718106753215894423e+04,1.638856764148093644e+05,6.555144960005281973e+02
5.717877882768567360e+04,1.638823958917029086e+05,6.559420853983921234e+02
5.717649012321240298e+04,1.638791153686039033e+05,6.563777962400939714e+02
5.642342654109007708e+04,1.652690493178360048e+05,6.639896945630620166e+02
5.688356319721980981e+04,1.652518348454974475e+05,6.567654972171034160e+02
5.688391271426586900e+04,1.652485543223909917e+05,6.571931896655798937e+02
5.688162400979259837e+04,1.631420926181368413e+05,6.575959094698893068e+02
5.717383816175060201e+04,1.631619932761855307e+05,6.579747859814207231e+02
5.584504660084606439e+04,1.631587127530790749e+05,6.582985176560006266e+02
5.584275789637280104e+04,1.631554322299759369e+05,6.666574217197022563e+02
5.584046919189953041e+04,1.631521517068721878e+05,6.523137295404277438e+02
5.687820478112251294e+04,1.631488711837684677e+05,6.616576658803506916e+02
5.687589178295299644e+04,1.631455906606647477e+05,6.470998636734267393e+02
5.687360307847972581e+04,1.631423101375610277e+05,6.470132524586750833e+02
5.583751819574351975e+04,1.629783017007940507e+05,6.582351332663240555e+02
5.716847974565330514e+04,1.629790296144568420e+05,6.588519932581804142e+02
5.717302566953319183e+04,1.630077490913503862e+05,6.588065583479586849e+02
5.717073696505992120e+04,1.630044685682439303e+05,6.588950515840051594e+02
5.716844826058665058e+04,1.630011880451449251e+05,6.590426082378859292e+02
5.687284636525431415e+04,1.629979075220384693e+05,6.592754783156872236e+02
5.687587085164011660e+04,1.629946269989394641e+05,6.597217953007614142e+02
5.687358214716684597e+04,1.629913464758330083e+05,6.601566186948557515e+02
5.716312132955786365e+04,1.629880659527265525e+05,6.605738844634174711e+02
5.716500473822031199e+04,1.629847854296275473e+05,6.611715764434210314e+02
5.716271603374704137e+04,1.629815049065210915e+05,6.617493972565316653e+02
5.595982660097959160e+04,1.635894214886286354e+05,6.616967093071181125e+02
5.580842732927377801e+04,1.635862243834201072e+05,6.624252947929019228e+02
5.686748794893163722e+04,1.636149438603211020e+05,6.631677614775289840e+02
5.580384992032723676e+04,1.636116633372126671e+05,6.637495515253064013e+02
5.580156121585397341e+04,1.636083828141062113e+05,6.641473995709717428e+02
5.579927251138070278e+04,1.636051022910052270e+05,6.645585037157799206e+02
